author,first 3-gram,second 3-gram,third 3-gram,fourth 3-gram,fifth 3-gram
casey langen,allow for transcoder,for transcoder format,transcoder format selection,format selection in,selection in musikdroid
Kai Raphahn,feat create framework,create framework add,bytes issue 1,stuff issue 1,create framework remove
Sridhar Ratnakumar,load blurb from,blurb from markdown,from markdown 5,markdown 5 load,5 load blurb
jofsky,updating files for,files for working,for working version,working version merging,version merging with
Kevin Wang,color changes working,colors and icons,and icons updated,refactor kvstore transaction,kvstore transaction exec
Ricardo Morin,add to menu,include svg file,add processed images,,
David Vo,fix ntproperty with,ntproperty with nondefault,with nondefault instance,,
Stephen Warneford-Bygrave,fixes for broken,for broken via,broken via download,via download and,download and pkg
macmule,merge pull request,pull request 56,request 56 from,56 from wegotoelevenmaster,from wegotoelevenmaster fixes
Darren Wallace,update changed name,changed name and,name and updated,and updated how,updated how we
Richard Mallion,drawbot munki receipe,,,,
Neil Martin,create labels and,labels and addressesmunkirecipehtml,whoops remove html,remove html extension,html extension from
Eniola Oyewole,added login capability,login capability added,capability added the,added the option,the option to
Yehonatan Hen,merge pull request,from yehonatanhenyonatan yonatan,pull request 13,request 13 from,13 from yehonatanhenyonatan
Guy Cohen,merge pull request,pull request 15,request 15 from,15 from yehonatanhenyonatan,from yehonatanhenyonatan adding
Marcel Goldschen-Ohm,create a visual,a visual intro,visual intro to,intro to numpy,to numpy and
GitHub,deploy from travis,from travis build,travis build 9319,build 9319 ci,9319 ci skip
James Gallagher,edit to the,to the drmpp_moduletestsmakefileam,,,
DentonWarnock,fixes to context,to context consuming,,,
Igor Dvorkin,updating weight for,weight for end,for end of,end of 2019,
Kirill Shcherbina,automatically backed up,backed up by,up by learn,,
Bernhard M. Wiedemann,update 000releasepackages to,000releasepackages to rev,to rev 377,rev 377 httpsbuildopensuseorgpackagerdiffopensusefactory000releasepackageslinkrevbaserev377,377 httpsbuildopensuseorgpackagerdiffopensusefactory000releasepackageslinkrevbaserev377 by
Robert West,css class name,class name change,name change p,change p para,
Jeff Pooley,upload new shortcut,fix zenodo link,fix punctuation mistake,,
Michael Zuniga,fixed errors for,errors for net,for net framework,net framework support,
OPSTestProduction,create a file,file e2e_docsbranch_prod_dynamicindexmd at,e2e_docsbranch_prod_dynamicindexmd at 20200101,file e2e_docsbranch_prod_dynamicindexyml at,e2e_docsbranch_prod_dynamicindexyml at 20200101
Your Name,wed jan 1,log_analytics retrieves information,retrieves information on,information on each,on each client
Mazdak Farrokhzad,remove fatal calls,matchexpressionarmpattern use more,use more generic,more generic wording,generic wording the
Charles Lew,add symbol normalization,symbol normalization for,normalization for proc_macro_server,inline and remove,and remove nfc_symbol_from
Zac Medico,packagemanager portage2384 repoman2320,portage2384 repoman2320 signedoffby,repoman2320 signedoffby zac,signedoffby zac medico,zac medico zmedicogentooorg
Leonardo Espinoza,cambio de nombre,añadiendo direcciones a,direcciones a repositorio,a repositorio y,repositorio y ghpages
Robin Bisho,removed an unneeded,an unneeded import,better type sig,removed another unneeded,another unneeded import
schwarze,when all cells,all cells in,cells in a,in a tbl1,a tbl1 column
jsg,convert infinite msleep9,infinite msleep9 to,msleep9 to msleep_nsec9,to msleep_nsec9 ok,msleep_nsec9 ok mpi
johan gace,update the book,the book challenge,book challenge for,challenge for 2019,
Stepan Koltsov,fix deprecation warning,fix unused method,unused method warning,method warning when,warning when bytes
Albert.CH.Shih,add entry point,,,,
Thomas Huybrechts,update target broker,target broker ip,broker ip address,,
Jack Murphy,add files via,files via upload,,,
Unknown,improved structure data,structure data logic,started work on,work on tiles,on tiles implemented
khandgp1,first iteration of,iteration of the,of the backend,,
gabesharpton,changed dev icon,good responsive for,responsive for larger,for larger screens,
Yaiyan,add support for,support for angled,for angled labels,minor fix to,fix to height
Brandon Craig,finished section 6,updated the course,the course folder,course folder structure,
geekwise-korey-nichols,bugfix changed max,changed max length,max length for,length for location_name,for location_name and
Nathan Getty,shit wrong branch,,,,
hww1996,bug fixed bug,fixed bug fixed,添加新的member change的方法 43,change的方法 43 修复使用旧conf的bug,43 修复使用旧conf的bug bug
GitHub Action,add data for,data for wed,for wed jan,wed jan 1,jan 1 004713
Kyle Bjordahl,fix remove old,remove old import,,,
SHRUTIKALOKHANDE,print the element,the element of,element of list,,
sthen,update to snail14916,to snail14916 from,snail14916 from maintainer,from maintainer steffen,maintainer steffen nurpmeso
wruiz,npm start listo,,,,
Mohsan Khan,update readmemd fix,readmemd fix formatting,,,
Antimeuh2433,fixed weird thing,weird thing in,thing in maincpp,,
sgoldenlab,add files via,files via upload,,,
e99999,ores to be,mostly recipe stuff,recipe stuff for,stuff for ic2c,for ic2c end
Mohsin Niazi,update to new,to new assignment,new assignment structure,to new structure,
Gary Mann,nuget config file,cleartext password support,password support on,support on linux,
Volodymyr Shcherbyna,threads1 score of,score of igel,of igel 221,64 popcnt vs,igel 221 0
confusdcodr,bumps version to,add kms encryption,version to 220,rename packages in,packages in travis
Gregory O,merge pull request,bump githubcomgruntworkioterratest from,pull request 29,request 29 from,29 from confusdcodrkms
Loren Gordon,adds encrypted deploy,encrypted deploy key,deploy key for,key for github,for github releases
fxnoob,whatsapp web cli,web cli radhey,cli radhey radhey,radhey radhey and,radhey and new
Sebastián Aberastury,my commit message,,,,
Ming Tang,add umap tsne,umap tsne compare,,,
Joshua Coales,fixing datetime checking,datetime checking download,checking download link,download link checking,link checking and
JE Low,found and fixed,and fixed an,fixed an issue,an issue with,issue with how
Paul-Davis,added code to,code to ignore,to ignore annotations,ignore annotations not,annotations not connected
Huahai Yang,deployed 779fd04 with,779fd04 with mkdocs,with mkdocs version,mkdocs version 104,
Rebecca Wallander,c64_cassxml update bmxracersa3,update bmxracersa3 actually,bmxracersa3 actually this,actually this contains,this contains a
iwilliamson,fixes bug in,bug in intellivoice,in intellivoice for,intellivoice for intvoice,for intvoice fix
David Haywood,new working clones,working clones 6115,clones 6115 new,6115 new working,working clones gunnail
ajrhacker,merge pull request,pull request 6113,request 6113 from,6113 from fakeshemppatch1,from fakeshemppatch1 c64_cassxml
Ian,merge remotetracking branch,remotetracking branch upstreammaster,,,
Alexander Solbrig,buildrecipe buildrecipe add,buildrecipe add rezept,add rezept hinzufügen,rezept hinzufügen unfinished,hinzufügen unfinished without
xuestrange,update _configyml test1,,,,
tommaso-sebastianelli,added toast after,toast after transaction,after transaction saveupdate,,
angiechangpagne@gmail.com,scraping with node,,,,
jobhimain,git cloneshare commit,gas commit 12312019,commit 12312019 194730,,
Loreina Chew,add status page,status page text,merge branch develop,branch develop into,page text constants
RohitGarudadri,merge branch develop,branch develop into,develop into feature200confirmemailflashing,develop into feature204loginbutton,
Andres Andrade,deploy changes to,changes to aws,,,
Cong Fandi,change nama project,nama project android,project android studio,,
tduplantis83,changed home page,home page text,page text to,text to black,added more random
Yong Zhang,at ionettychannelabstractchannelhandlercontextinvokechannelreadabstractchannelhandlercontextjava362 nettyall4132finaljar4132final,ionettychannelabstractchannelhandlercontextinvokechannelreadabstractchannelhandlercontextjava362 nettyall4132finaljar4132final at,nettyall4132finaljar4132final at ionettychannelabstractchannelhandlercontextinvokechannelreadabstractchannelhandlercontextjava348,at ionettychannelabstractchannelhandlercontextinvokechannelreadabstractchannelhandlercontextjava348 nettyall4132finaljar4132final,ionettychannelabstractchannelhandlercontextinvokechannelreadabstractchannelhandlercontextjava348 nettyall4132finaljar4132final at
ColeEwert,full barns history,barns history added,,,
sqeven,synchronizing completion at,completion at 20200101,,,
Randy LeVeque,added testsparticles to,testsparticles to test,to test one,test one stationary,one stationary and
kmorgan8588,updates post route,post route to,route to accept,to accept a,accept a listing
ivanisinvesting,112020 84523 am,,,,
Hannes Hauptmann,button and text,and text render,text render complete,,
unknown,speech systhesis css,links highlight works,speech systhesis html,systhesis css linked,
MANDARIN,useactions 커스텀 훅,hooks vs connect,,,
dmontigny,working on web,on web scraping,web scraping real,scraping real estate,real estate completed
lihkg,update 1804377json 20200101t004734851z,update 1805471json 20200101t004738733z,update 1805712json 20200101t004741480z,update 1805816json 20200101t004743681z,update 1785839json 20200101t004746859z
Jess Zuchowski,merge pull request,pull request 3,request 3 from,3 from jesszuchowskireadme_update,from jesszuchowskireadme_update updated
Chelsey McKinney,adding proper social,proper social media,social media urls,creating email message,
cameronshinn,fix about embed,added better reaction,better reaction handling,reaction handling still,handling still needs
Fernando Ferreira,add authentication and,authentication and send,and send signup,send signup email,
Alisonhardison,user can now,can now delete,now delete notecards,added tag button,
closedsum,wip updating naming,updating naming for,naming for data,for data related,data related items
tumhopaasmere,gas commit 12312019,git cloneshare commit,commit 12312019 195023,commit 12312019 195724,
dominicskinner,merge pull request,pull request 24,request 24 from,24 from dominicskinnermaster,from dominicskinnermaster update
Joshua,fix update link,,,,
Andrew Dinh,install envcmd to,envcmd to use,to use gatsby,use gatsby playground,gatsby playground in
Bhushan S Vasisht,update definition of,definition of n,,,
Web-Media,get single route,revert get single,single route this,route this reverts,this reverts commit
tailaiw,added unit tests,unit tests for,tests for traintest,for traintest split,traintest split with
kunfayakun,git cloneshare commit,,,,
pk,added a new,a new project,,,
Docker,publishing site on,site on 20200101,on 20200101 004741,,
Pierre Theo Klein,make min pass,min pass length,pass length 6,length 6 427,refactor toast into
Kyle Rubenok,merge pull request,from 131 to,from 41711 to,41711 to 41715,pull request 654
Long Nguyen,add touch placement,,,,
ZhongGuiyong,add delete function,delete function for,function for delete,for delete the,delete the article
Augusto Calado Bueno,update upper 2,upper 2 grammarmd,,,
Luiz Irber,remove draff and,draff and smrs,and smrs crates,,
Stephen Ramsay,added some more,some more information,more information to,information to the,to the forecast
Adam Arling,update versions to,versions to get,to get rid,get rid of,rid of dependency
turleypol,typo in no,in no sql,,,
Tanuj Mittal,add icontentprovider to,icontentprovider to access,to access contents,,
Nate Roundy,added actions and,actions and payloads,and payloads to,payloads to redux,redux is fun
Shokupanman,merge pull request,merge branch master,branch master into,from lazycoders1roundy added,master into roundy
Roundy,merge pull request,pull request 45,request 45 from,45 from lazycoders1hari,from lazycoders1hari meet
jnjagod,various postdetails changes,,,,
Codus1127,merge pull request,from lazycoders1codysbranch codys,lazycoders1codysbranch codys branch,pull request 47,request 47 from
Cody Young,like button stuff,,,,
Sam Dale,messing with h,with h values,clean up extraneous,up extraneous code,
Shresth09,add bg img,,,,
Chad Vernon,extract colored console,colored console class,add spaceswitching api,fix menu position,menu position bug
James Brouillet,added unit screen,unit screen info,,,
Jonathan Wong,retrieved calendar events,calendar events as,events as array,as array of,array of time
linimon,document osversion 1300072,osversion 1300072 gitsvnid,1300072 gitsvnid svnsshsvnfreebsdorgdochead53725,gitsvnid svnsshsvnfreebsdorgdochead53725 c2e8774fc49fe111b436862b2bbc8956,fix build on
Rachel Johnson,hammer create phrase,create phrase class,,,
Spiedie,added rank progression,rank progression estimates,progression estimates and,estimates and times,
Steve Neale,coverage config file,code coverage reports,add coverage config,config file added,file added the
iphshin,add files via,files via upload,,,
Manny Cortez Studios,added who to,who to follow,to follow in,follow in backend,in backend api
Winston Weathers,automatically backed up,backed up by,up by learn,,
Evan Bacon,convert to typescript,merge pull request,pull request 5,request 5 from,5 from evanbaconevanbaconemsinit
Nando Vieira,add a more,a more aggressive,more aggressive bot,aggressive bot detection,bot detection strategy
Jared Johnson,make getreauthaction more,getreauthaction more readable,create getteststore testing,getteststore testing util,test getreauthaction dispatches
Epic,readme licence and,licence and other,and other stuff,,
Andrew Kannan,add layouts to,layouts to instant60,use standard colors,make it more,it more understandable
Wilba,merge pull request,pull request 8,request 8 from,8 from awkannanadd_layouts_to_instant60,from awkannanadd_layouts_to_instant60 add
aaveg,implemented tracking of,tracking of bounding,of bounding boxes,bounding boxes along,boxes along various
Scott Buchanan,implement dragging to,dragging to translate,to translate map,implement on scroll,on scroll for
Benito Perdomo,se ajustan valores,ajustan valores de,valores de los,de los catalogos,merge branch master
xndcn,3 items update,4 items update,8 items update,,
James Moore,dont use activitypub,use activitypub alias,,,
lm585,add files via,files via upload,,,
Ali,add files via,files via upload,,,
Devin Jolly (Lightling),to item drops,added subtle shading,subtle shading to,shading to item,item drops and
byron-linode,auto add new,add new log,,,
Michael Townsend,fix udp packet,udp packet format,,,
skennicutt,added second test,second test blog,test blog post,updated blog headings,
M5X,added linuxsurface patches,linuxsurface patches for,patches for kernel,for kernel 54,
Rothanak So,insert isqs and,isqs and grades,and grades into,grades into bigquery,implement full sync
Kishore Reddy,fix code gen,,,,
Tom Powers,add exceptions to,exceptions to be,to be used,be used in,used in main
jacob1,fix wild child,wild child getting,child getting notification,getting notification every,notification every night
Caio Davi,removing unnecessary links,,,,
Brianna McCray,5 day temps,,,,
clr2of8,first draft at,draft at dependencies,,,
Nicolas HULEUX,payer le moins,possible en fonction,en fonction dun,fonction dun régime,dun régime donné
Yoshi Automation Bot,updated googlecloudfirestorechangelogmd ci,googlecloudfirestorechangelogmd ci skip,updated googlecloudfirestorelibgooglecloudfirestoreversionrb ci,googlecloudfirestorelibgooglecloudfirestoreversionrb ci skip,
zepumph,move jump alerts,jump alerts to,alerts to ruler,to ruler describer,ruler describer add
tony,add definition keyword,site updated 20200101,updated 20200101 085454,,
choirulihwan,beautify welcome page,,,,
Jose Garcia,eliminated jquery and,jquery and cleaned,and cleaned code,cleaned code significantly,
Ling Thio,pre fontsize 08em,pre font size,font size 80,merge remotetracking branch,remotetracking branch originmaster
Anthony Holder,automatically backed up,backed up by,up by learn,,
bczhc,颜色选择器手动输入颜色十六进制 add gitignore,add gitignore file,gitignore file modify,file modify app,modify app icon
tthings,revert update terraria,update terraria windowsmd,terraria windowsmd this,windowsmd this reverts,this reverts commit
XHQ,1 update androidsupport,update androidsupport add,androidsupport add recyclerview,add recyclerview add,recyclerview add update
LuisLoureiro,new content on,content on the,on the database,,
bbertolani,merge pull request,pull request 8,request 8 from,8 from bbertolanifix_models,from bbertolanifix_models fix
mark m,corewindowswmi add ability,add ability to,ability to exec,to exec methods,exec methods on
William Woodruff,windows new table,new table ntfs_journal_events,table ntfs_journal_events 5371,ntfs_journal_events 5371 coauthoredby,5371 coauthoredby garret
Ryo Ota,update update vuecliooo,update vuecliooo from,vuecliooo from 411,from 411 to,411 to 412
drakata,site v1 pushing,v1 pushing onai,pushing onai mvp,,
iso88591,ignore files init,,,,
ManlyMarco,added modified mcs,modified mcs that,mcs that ignores,that ignores access,ignores access modifiers
Mostapha,update for the,for the latest,the latest release,latest release jan,release jan 1
choo,change style of,style of color,of color preview,color preview button,
fate0,wed jan 1,jan 1 084828,1 084828 cst,084828 cst 2020,
David Sanders,add parsers for,parsers for type,for type descriptions,,
locke-lunarg,aaaa changeid i3e82b159eacd4de43f631d462d66c9912412f5b3,,,,
diharaw,vulkan raytracing sample,raytracing sample progress,,,
Ernesto Crespo,generate pelican site,imagenes docker github,imagen docker de,docker de mongodb,
Gabriel Baca,added axios functionality,axios functionality added,functionality added cors,added cors headers,
Manny,refactored the middleware,,,,
Marco A Cayetano,automatically backed up,backed up by,up by learn,,
Christian Findlay,rename a project,a project and,project and decouple,and decouple from,decouple from polly
David Comboni,updated bricklet ir,bricklet ir v20,,,
Bitnami Containers,component image updated,image updated to,signedoffby bitnami containers,bitnami containers containersbitnamicom,externaldns component image
Randall,update yate from,yate from 5032,from 5032 to,5032 to 5033,to 5033 74911
ainstushar,updated sha for,sha for latest,for latest version,latest version 74921,version 74921 expected
stolen data,update mpvrb 74907,mpvrb 74907 updated,74907 updated build,updated build regaining,build regaining os
suschizu,update buttercup 74922,,,,
James Lentini,update dataintegration from,dataintegration from 8200342,from 8200342 to,8200342 to 8300371,to 8300371 74909
KorobkaVadim,add duefocus 208,duefocus 208 74866,208 74866 add,74866 add duefocus,duefocus 208 add
Alexander Lukyanchikov,delete sampler added,sampler added to,added to homebrewcore,to homebrewcore instead,homebrewcore instead 74923
ABruihler,update prey from,prey from 191,from 191 to,191 to 192,to 192 74925
Luca Bomben,update folx from,folx from 51413921,from 51413921 to,51413921 to 51413922,to 51413922 74927
Birger J. Nordølum,update hammerspoon from,hammerspoon from 0976,from 0976 to,0976 to 0977,to 0977 74929
Colin Curtain,working on manual,on manual transcription,manual transcription functionality,transcription functionality for,functionality for av
Rubber-Duckie,added config for,config for xdn,add files via,files via upload,merge pull request
Toqa,connect add asset,add asset with,asset with home,with home and,home and marketplace
Eloy Durán,definitionparser support minor,support minor version,minor version directories,package update tsjest,test fix failure
Propeus,merge pull request,alterado nome da,nome da pasta,da pasta de,pasta de documentação
Sebastian Kalicki,merge pull request,from 433 to,433 to 444,pull request 1,request 1 from
xqrzd,update test net,test net core,net core runtime,multitarget new runtimes,new runtimes to
Mohamed Deerow,build docker containers,is triggered when,triggered when a,docker containers in,containers in concourse
Wolfgang Becker,add feedback messages,,,,
Bruno,implementing custom labels,custom labels functionality,updated makefile lux,makefile lux for,lux for particles_gpu
allinoneapps,cron update 1120,update 1120 124847,1120 124847 am,update 1120 125313,1120 125313 am
Fabio Migliorini,upd modelo er,modelo er conforme,er conforme producao,,
ericpena,added preface category,,,,
yano.nono,updated at 20200101,at 20200101 0048,20200101 0048 オリジナル3dキャラクターモデルユノン,0048 オリジナル3dキャラクターモデルユノン ver100,オリジナル3dキャラクターモデルユノン ver100 ラジアルウェブ
CheeseInTheDark,gun power is,power is no,is no adjustable,no adjustable by,adjustable by the
Jinhang's workout chart,2019 workout log,updated format2020 happy,format2020 happy new,happy new year,create 2019 workout
Daniel,thread da remoção,da remoção do,remoção do anúncio,do anúncio refatorada,modificação no swipe
b946c5a0bf547c89,site updated 20200101,updated 20200101 084837,updated 20200101 084947,updated 20200101 085811,
Laksh Bhambhani,basic setup but,setup but switching,but switching to,switching to quadruped,to quadruped cuz
Steven Andrew Wallace,added metadata to,metadata to client,changed version number,,
Ben Godfrey,create systemd power,systemd power manager,return error on,error on unknown,on unknown power
Aaron,adding blog a,blog a tag,a tag to,tag to the,to the site
bnebeker,ref add provider,add provider data,provider data serialize,data serialize df,
Alan Turing,add maptoprops tests,maptoprops tests to,add maptoproptests for,maptoproptests for loginform,tests to moviecontainer
Abdallah Chidjou,automatically backed up,backed up by,up by learn,,
nikhil,changed custom shape,custom shape to,shape to btn,to btn fix,btn fix double
lin,code clean up,,,,
Jake,feat 2020년 1월,2020년 1월 1일,1월 1일 ps,1일 ps geeksforgeeks,ps geeksforgeeks stock
Juan Ku,refactor gem structure,,,,
AJInddev,ranveer tracker updates,tracker updates 20200101,updates 20200101 124859,,
Geoffrey van Wyk,chore create blog,create blog skeleton,blog skeleton with,skeleton with gridsome,with gridsome the
Benjamin Spain,prev next buttons,support for desktop,for desktop version,desktop version of,version of the
uttie,adding install file,adding new poem,new poem echoes,,
Joe Hinkley,soundcard hover effects,,,,
Greg Fodor,added hubs cloud,hubs cloud look,cloud look and,look and feel,and feel doc
Lucy Hao,merge branch somefontchanges,,,,
Toshiki Tsuboi,testcase for 5,for 5 10,5 10 chf,10 chf 10,testcase for 5510
Michael Catanzariti,full support for,support for datamemberattribute,for datamemberattribute and,datamemberattribute and datacontractattribute,and datacontractattribute optin
FajsiEx,tag displaying to,displaying to propedit,saving note from,note from props,from props edit
Saleem Abdulrasool,windows move swift,move swift options,swift options upto,options upto the,upto the pipeline
Daishan,add rancher customization,,,,
mlevatich,read lighting data,lighting data from,data from file,,
Talon Poole,docsreadme more badges,docsreadme super important,super important final,important final badge,final badge lmfao
Jimmy Wong,update links and,links and details,,,
陈嘉涵,chore release 240,,,,
Aleksandr Statciuk,update grm3u updated,grm3u updated channel,updated channel name,channel name fixed,name fixed tvgid
Bryant Omoregie,automatically backed up,backed up by,up by learn,,
Michael B,moved data access,fixed products registration,,,
mransan,add bsocamlprotocjson as,bsocamlprotocjson as a,as a git,a git module,
Andres Felipe Torres,clase 117 ajuste,117 ajuste a,ajuste a nuevo,a nuevo servicio,
Krzysiek,bael19890 upgrade to,upgrade to spring,to spring boot,spring boot 222,boot 222 and
Josh Cummings,merge pull request,pull request 8420,request 8420 from,8420 from kwoykebael19890,from kwoykebael19890 bael19890
Joe Loughry,quantum teleporation on,teleporation on chip,on chip in,chip in silicon,
mhkeller,add webgl layout,,,,
Chris Dart,add editing of,editing of banks,,,
Melissa3199,commit on master,,,,
Gabriel Dudlicek,adding a change,a change to,change to conflict,to conflict with,conflict with user
Matthew Peveler,fix link to,link to requeststhreads,to requeststhreads on,requeststhreads on communityrecommended,
Nate Prewitt,merge pull request,pull request 5250,request 5250 from,5250 from masterodinpatch1,from masterodinpatch1 fix
Mickaël Schoentgen,merge branch master,branch master into,master into fixresourcewarnings,,
Adit P Patel,automatically backed up,backed up by,up by learn,,
Adam Mohammed,add npm md,npm md spellchecker,,,
Alistair Hey,remove unfinished post,,,,
Michael Shen,add playback selection,,,,
Cole Summers,finished computerplay func,,,,
Vineet Sinha,better naming and,naming and menu,and menu item,menu item active,improved menu formatting
EveningShade,merge remotetracking branch,remotetracking branch originmaster,branch originmaster conflicts,originmaster conflicts appsrcmainandroidmanifestxml,
Adam,mini funciton added,,,,
Dipankar Dutta,add files via,files via upload,,,
Devin Fitzsimons,merge pull request,pull request 1,request 1 from,1 from aisflat439dependabotnpm_and_yarnhandlebars453,from aisflat439dependabotnpm_and_yarnhandlebars453 bump
Crieve-Sargeras,fixed some bugs,some bugs with,bugs with the,with the soft,the soft reserve
JumHorn,reconstruct a 2row,a 2row binary,2row binary matrix,binary matrix beats,matrix beats 8947
Pier Luigi Fiorini,merge branch develop,,,,
Takuya Takeuchi,merge branch featureshufflenetv2,branch featureshufflenetv2 into,featureshufflenetv2 into develop,merge branch featureyolov2,branch featureyolov2 into
Omar Dario,agregando imagenes para,imagenes para la,para la pagina,la pagina de,pagina de github
Robert Impellitteri,other 11 added,11 added remove,added remove button,remove button to,button to lines
VoiceSC,more changes revision,changes revision 3,merge branch andrew,branch andrew of,andrew of httpsgithubcomlistvaletlistvalet
Walter Torres,update paper figures,,,,
Elijah Christensen,added box_index and,box_index and started,and started fleshing,started fleshing out,fleshing out cli
Diversity Timestamping Service,newly timestamped commits,timestamped commits up,commits up to,up to 20200101,to 20200101 002337
Gitta Timestamping Service,httpsgittazeitgitternet branch timestamp,branch timestamp 20200101,timestamp 20200101 004919,20200101 004919 utc,
Mathi Gatti,testing algorithm modifications,algorithm modifications and,modifications and adding,and adding color,adding color based
Will Dickson,worked on readwrite,on readwrite methods,readwrite methods for,methods for serialport_t,for serialport_t added
heroku-bot,20200101 1249 am,1249 am facebook,am facebook main,facebook main 1,main 1 file
huanminwu,create leetcode_sort_iii_mergesort docx,create leetcode_sort_ii_lis docx,create leetcode_sort_i_heapsort docx,,
Michelle Handipranata,the analysis result,analysis result images,result images have,images have been,have been added
doctor4t,add page amount,page amount tooltips,amount tooltips for,tooltips for books,add recipe to
umgi,allow transmission and,transmission and kodi,and kodi ports,,
traderres,works with formatting,,,,
Paul Brady,static page generation,make dist directory,dist directory pushable,directory pushable to,pushable to host
Iván Hernández,modifique las routes,estamos en problemas,,,
matthew46,updated gps added,gps added latitude,added latitude parsing,,
João Oliveira,fix typo in,typo in dir,in dir names,dir names embeded,names embeded embedded
David Salazar,ml week 1,,,,
Daniel Rejon,refactor poll components,refactor to extract,to extract text,extract text area,text area component
Rob Fowler,dont abuse the,abuse the server,the server on,server on startup,
nedyudombat,modified token colors,,,,
rene,remove expired port,netdpdk depend on,depend on openssl,on openssl via,openssl via usesssl
yuri,netclash update 0160,update 0160 0170,0160 0170 reported,0170 reported by,reported by portscout
jbeich,reported by github,by github watch,github watch releases,x11toolkitswlroots update to,update to 090
jhale,financeaqbanking update to,update to 582,to 582 pr,582 pr 243008,pr 243008 submitted
pkubaj,devellove08 fix build,fix build on,build on gcc,on gcc architectures,gcc architectures devil
adridg,by piotr smyrak,fix openal knob,openal knob in,knob in multimediaqt5multimedia,in multimediaqt5multimedia the
Tim Creech,merge remotetracking branch,remotetracking branch upstreammaster,,,
Cms Build,update data 202001010149,new report generated,report generated 202001010152,,
Yevgeniy Miretskiy,importccl improve handling,improve handling of,handling of transient,of transient errors,transient errors when
ropenscibot,registryjson and raw_cmjson,and raw_cmjson updated,,,
Evil Artist,ignore vscode setting,vscode setting folder,add code to,code to test,to test http
Edward Silverton,use enums for,enums for events,for events states,events states and,states and actions
Naw Singh,level 7 task,7 task 2,,,
Matt Beachey,added file structure,,,,
Michael Galperin,removed boilerplate posts,,,,
Koichi Shiraishi,sources run black,language fix handle,fix handle interface,handle interface value,language add testcases
Shougo,merge pull request,pull request 163,request 163 from,163 from deopletepluginssyntaxblack,from deopletepluginssyntaxblack sources
Joshua Poirier,add vs code,vs code settings,code settings to,settings to gitignore,fix typo in
wgfxer,hometask_4 fixed bugs,,,,
Mark Crossen,bumped gem version,gem version to,version to 043,,
Thomas K,added star alpha,star alpha tv,alpha tv streams,tv streams in,streams in greek
Kamen Stanev,adddomains for all,for all sites,all sites page,sites page 38116,page 38116 as
jonathansadowski,migration move polling,move polling to,polling to progress,to progress page,progress page update
deepscanbot,merge branch master,branch master of,master of httpsgithubcomautomatticwpcalypso,of httpsgithubcomautomatticwpcalypso into,httpsgithubcomautomatticwpcalypso into head
Agencia Web Bogotá,banner tienda online,,,,
Ike Otu,fixed undefined objects,undefined objects and,objects and the,and the targeting,the targeting issue
ZsZs,correct compillation failure,,,,
Logan Perry-Din,add files via,files via upload,,,
Rahul Ravikumar,add a converter,a converter from,converter from the,from the old,the old format
duncan ralph,forecasts pushed on,pushed on tue,on tue dec,tue dec 31,dec 31 164953
Gavin M. Roy,remove the aiorabbitchannelpy,the aiorabbitchannelpy stub,add a new,update the example,requirement updates update
milenaonmaui,use redirect for,redirect for incorrect,for incorrect meal,incorrect meal id,meal id and
GitHub Actions,add configuratons for,configuratons for v1,for v1 machines,,
v-acoder,site updated 20200101,updated 20200101 084952,updated 20200101 085418,updated 20200101 085851,
Thomas Lane,add files via,files via upload,rename resourcesviewsindexhtml to,resourcesviewsindexhtml to resourcesviewshomeindexhtml,
Kevin Liang - Surface,initial pytorch tutorial,pytorch tutorial materials,,,
Jeremy Schlatter,playground add appengine,add appengine healthcheck,appengine healthcheck endpoint,,
Yoshitaka Terazawa,merge pull request,pull request 159,request 159 from,159 from locol23renovatetypescript3x,from locol23renovatetypescript3x choredeps
May Roussel,add build steps,,,,
Dean Rexines,refine unet decaying,unet decaying lr,decaying lr scripts,lr scripts saving,scripts saving model
Jeremy Philipson,chroe remove dist,chore add remove,add remove item,remove item functionality,
Harry Seong,fixed languages extraction,languages extraction bug,,,
Notary Depot,updated at 20200101t005005z,,,,
Jaz Singh,add residuals prop,residuals prop upgrade,prop upgrade babel,upgrade babel and,babel and build
Paul home desktop,merge branch master,branch master of,master of githubcomjpmatternbayesian_cbiomes,removed ipynb_checkpoints directory,
Snow Wang,auto commit 20200101,commit 20200101 085003,,,
ericberman,svn 6899 allow,6899 allow for,allow for null,for null lastactivity,null lastactivity lastlogin
xiongbingji,merge branch master,branch master of,master of httpsgithubcomw190601jdev3,,
p進大好きbot,update and rename,and rename 00000000imoutogure,rename 00000000imoutogure to,00000000imoutogure to 00000000imoutoguremd,
Eungyu Park,update on contact,,,,
Hubert Maraszek,build and compile,and compile currently,compile currently nonsensical,currently nonsensical shader,nonsensical shader pairs
Nicolas Botello,fix linting issue,add a general,a general type,general type for,type for providers
Ashley Hughes,fix directory issue,merge branch ansible,branch ansible of,ansible of githubcomqcu87zdotfiles,of githubcomqcu87zdotfiles into
Jeremy Moore,the capture folder,capture folder in,new capture directory,capture directory can,directory can create
Lyrana Hughes,changed pseg_arr to,pseg_arr to sap_dict,to sap_dict psa,sap_dict psa to,psa to sap
Sharma,updated auth ui,auth ui flow,updated sever proxy,,
